id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,0.02,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020s,serene,0.85,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,71,2010s,gritty,0.15,0.23
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,54,2020s,nostalgic,0.90,0.06
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2020s,aggressive,0.03,0.09
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010s,dreamy,0.95,0.04
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,51,2010s,romantic,0.30,0.62
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,67,2020s,tense,0.40,0.07
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,59,2020s,focused,0.88,0.05
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,73,2010s,euphoric,0.04,0.18
11,Broken Clocks,Sable Lane,r&b,sad,0.45,85,0.32,0.55,0.62,66,2010s,bittersweet,0.10,0.14
12,Canyon Dust,Red Horizon,country,nostalgic,0.58,104,0.74,0.64,0.81,49,2000s,nostalgic,0.20,0.45
13,Fury Road,Iron Siege,metal,angry,0.97,180,0.31,0.71,0.04,82,2010s,aggressive,0.22,0.31
14,Velvet Dusk,Celeste Noir,classical,melancholic,0.52,72,0.43,0.28,0.96,38,1990s,melancholic,0.97,0.55
15,Block by Block,Cipher K,hip-hop,uplifting,0.78,95,0.76,0.85,0.15,85,2020s,uplifting,0.05,0.11
16,Drop Zone,Axel Wave,electronic,intense,0.95,140,0.62,0.92,0.03,91,2020s,intense,0.60,0.08
17,Porch Light,Meadow Fern,folk,romantic,0.34,88,0.80,0.48,0.94,44,2010s,romantic,0.35,0.72
18,Golden Hour,The Drift,soul,happy,0.65,112,0.88,0.77,0.55,77,2010s,groovy,0.08,0.28
